id:ID,name,type,desc,:LABEL
0,nazca,,An overview of the Nazca modules.,Module
1,nazca.cfg,,This module is for configuring Nazca settings and sharing variables between Nazca modules.,Module
2,active_cell(),,Get the active cell. The 'active cell' is the last opened Cell object that has not been closed yet.,Function
3,formatplot(),,Update matplotlib plotting style for graphs.,Function
4,gds_cellname_cleanup(name),,"Placeholder function that can be overruled in a foundry PDK. This function should make sure only valid cellnames are used, i.e. formats excepted by the foundry.",Function
5,name,str,cellname,Parameter
6,reset_pinstyles(),,,Function
7,,,Example of getting the active cell.,Example
8,nazca.clipper,,Module with boolean operations on polygons and grow/shrink.,Module
9,"clip_polygons(paths_A, paths_B, accuracy=1e-08)",,Clip polygons and return a list with the resulting polygon(s). This function returns the intersection of the polygons (paths_A AND paths_B).,Function
10,paths_A,list,"list of polygons that each have a list of coordinates (x, y",Parameter
11,paths_B,list,"list of polygons that each have a list of coordinates (x, y",Parameter
12,accuracy,float,accuracy in micrometers of the location of the intermediate points.,Parameter
13,"diff_polygons(paths_A, paths_B, accuracy=1e-08)",,Subtract polygons and return a list with the resulting polygon(s). This function returns the subtraction of the polygons (paths_A NOT paths_B).,Function
14,paths_A,list,"list of polygons that each have a list of coordinates (x, y",Parameter
15,paths_B,list,"list of polygons that each have a list of coordinates (x, y",Parameter
16,accuracy,float,accuracy in micrometers of the location of the intermediate points.,Parameter
17,"grow_polygons(paths, grow=5, accuracy=0.1, jointype='round')",,Grow or shrink polygons and return the resulting structures.,Function
18,paths,list,"list of polygons that each have a list of coordinates (x, y",Parameter
19,accuracy,float,accuracy in micrometers of the location of the intermediate points. The accuracy determines the grid on which the grown path is drawn.,Parameter
20,jointype,str,specifies the type of growing that is used. The jointype is one of 'round' (default,Parameter
21,"merge_polygons(paths, accuracy=1e-08)",,Merge polygons and return a list with the resulting polygon(s). This function returns the union of the polygons (logical OR of all paths).,Function
22,paths,list,"list of polygons. A polygon is list of coordinates (x, y",Parameter
23,accuracy,float,accuracy in micrometers of the location of the intermediate points. There is no good reason to deviate from the default (default =1e-8 micrometers,Parameter
24,"polygons_AND(paths_A, paths_B, accuracy=1e-08)",,Clip polygons and return a list with the resulting polygon(s). This function returns the intersection of the polygons (paths_A AND paths_B).,Function
25,paths_A,list,"list of polygons that each have a list of coordinates (x, y",Parameter
26,paths_B,list,"list of polygons that each have a list of coordinates (x, y",Parameter
27,accuracy,float,accuracy in micrometers of the location of the intermediate points.,Parameter
28,"polygons_NOT(paths_A, paths_B, accuracy=1e-08)",,Subtract polygons and return a list with the resulting polygon(s). This function returns the subtraction of the polygons (paths_A NOT paths_B).,Function
29,paths_A,list,"list of polygons that each have a list of coordinates (x, y",Parameter
30,paths_B,list,"list of polygons that each have a list of coordinates (x, y",Parameter
31,accuracy,float,accuracy in micrometers of the location of the intermediate points.,Parameter
32,"polygons_OR(paths, accuracy=1e-08)",,Merge polygons and return a list with the resulting polygon(s). This function returns the union of the polygons (logical OR of all paths).,Function
33,paths,list,"list of polygons. A polygon is list of coordinates (x, y",Parameter
34,accuracy,float,accuracy in micrometers of the location of the intermediate points. There is no good reason to deviate from the default (default =1e-8 micrometers,Parameter
35,"polygons_XOR(paths_A, paths_B, accuracy=1e-08)",,This function returns a list of polygons that result from the logical XOR operation: paths_A XOR paths_B.,Function
36,paths,list,"list of polygons. A polygon is list of coordinates (x, y",Parameter
37,accuracy,float,accuracy in micrometers of the location of the intermediate points. There is no good reason to deviate from the default (default =1e-8 micrometers,Parameter
38,"Xor_polygons(paths_A, paths_B, accuracy=1e-08)",,This function returns a list of polygons that result from the logical XOR operation: paths_A XOR paths_B.,Function
39,paths,list,"list of polygons. A polygon is list of coordinates (x, y",Parameter
40,accuracy,float,accuracy in micrometers of the location of the intermediate points. There is no good reason to deviate from the default (default =1e-8 micrometers,Parameter
41,,,Documentation of pyclipper,Example
42,,,Example documentation,Example
43,nazca.colormap,,Generate a matplotlib colormap from the csv table: csv2colormap,Module
44,Lypdata(),,Class to export layer information to a Klayout lyp file,Class
45,"CSV2lyp(csvfiles, lypfile)",,Write klayout .lyp layer properties file,Function
46,csvfiles,dict,dictionary {tab-name: filename} which contains all csv files to be written to a single lyp file,Parameter
47,lypfile,str,"filename of the .lyp file. This file will be created if it does not yet exist. If it already exists, it will be overwritten",Parameter
48,"lyp2CSV(lypfile, infolevel=0)",,Convert a Klayout .lyp file into a .csv Nazca color table,Function
49,lypfile,str,name of Klayout .lyp file,Parameter
50,"lyp2pd(lypfile, infolevel=0)",,Convert a Klayout .lyp file into a Nazca color table,Function
51,lypfile,str,name of Klayout .lyp file,Parameter
52,"nazca2CSV(colors, filename)",,Save nazca colormap to csv file,Function
53,colors,DataFrame,color information,Parameter
54,filename,str,name of csv output file,Parameter
55,nazca2lyp(filename),,Export the Nazca color DataFrame to .lyp file,Function
56,filename,str,basename of the output csv and lyp files,Parameter
57,"pd2lyp(tabs, lypfile)",,Write klayout .lyp layer properties file,Function
58,csvfiles,dict,dictionary {tab-name: filename} which contains all csv files to be written to a single lyp file,Parameter
59,lypfile,str,"filename of the .lyp file. This file will be created if it does not yet exist. If it already exists, it will be overwritten",Parameter
60,nazca.convert_AWGtxt2nazca,,Convert BrightAWG coordinates.txt to nazca.txt by reformatting the AWG coordinates from the BrightAWG .txt outfile into Nazca format for all .txt files in a specified directory.,Module
61,"Convert(files, xs, win, wout)",,Loop through .txt input files and write converted nazca compatible pin output files.,Function
62,files,str | list of str,filename(s,Parameter
63,xs,float,xsection of connection,Parameter
64,win,float,waveguide width input side,Parameter
65,wout,float,waveguide width output side,Parameter
66,"Convert_file(file, xs, win, wout, warm=None)",,Reformat the AWG coordinates from the OD BrightAWG .txt file into Nazca format.,Function
67,file,str,filename,Parameter
68,xs,float,xsection of connection,Parameter
69,win,float,waveguide width input side,Parameter
70,wout,float,waveguide width output side,Parameter
71,get_txt_files(dir),,Get all .txt files in directory path 'dir'.,Function
72,dir,str,root directory to scan,Parameter
73,"put_pins(file, xs, win, wout, warm=None, stubs=False)",,"Load the OD BrightAWG .txt file and place the pins in the active cell, skipping the conversion to a file with Nazca coordinates.",Function
74,file,str,filename,Parameter
75,xs,float,xsection of connection,Parameter
76,win,float,waveguide width input side,Parameter
77,wout,float,waveguide width output side,Parameter
78,nazca.cp,,The 'cp' module provides short syntax methods to operate on the current pointer cp. The cp holds the position of the standard output of the last element in a mask layout.,Module
79,a(),,Get cp coordinates a.,Function
80,get_a(),,Get cp coordinates a.,Function
81,get_xy(),,"Get cp coordinates x, y.",Function
82,get_xya(),,"Get cp coordinates x, y, a.",Function
83,"goto(x=0, y=0, a=0)",,Goto absolute position with cp.,Function
84,x,float,x-position,Parameter
85,y,float,y-position,Parameter
86,a,float,a-position,Parameter
87,goto_pin(p),,Goto absolute position with cp using a Pin object.,Function
88,p,Node,"(x, y, a",Parameter
89,here(),,Get cp.,Function
90,"move(x=0, y=0, a=0)",,Move relative with respect to cp.,Function
91,x,float,x-position,Parameter
92,y,float,y-position,Parameter
93,a,float,a-position,Parameter
94,Offset(y=0),,Move perpendicular with respect to cp.,Function
95,y,float,delta y,Parameter
96,OS(y=0),,Move perpendicular with respect to cp.,Function
97,y,float,delta y,Parameter
98,pop(),,Pop cp from the FILO stack.,Function
99,push(),,Push cp on the FILO stack.,Function
100,rot(a=0),,Rotate the cp.,Function
101,a,float,a-position,Parameter
102,rotate(a=0),,Rotate the cp.,Function
103,a,float,a-position,Parameter
104,"Shift(x=0, y=0)",,"Move relative with respect to cp by x, y.",Function
105,x,float,delta x,Parameter
106,y,float,delta y,Parameter
107,"Show(radius=10, width=1)",,Show location of cp by drawing a circle around it.,Function
108,radius,float,radius of the circle,Parameter
109,width,float,width of the circle line,Parameter
